Acorn,Date,Conso_kWh_predict
ACORN-P,2014-01-13,
ACORN-P,2014-01-14,
ACORN-P,2014-01-15,
ACORN-P,2014-01-16,
ACORN-P,2014-01-17,
ACORN-P,2014-01-18,
ACORN-P,2014-01-19,
ACORN-P,2014-01-20,
ACORN-P,2014-01-21,
ACORN-P,2014-01-22,
ACORN-P,2014-01-23,
ACORN-P,2014-01-24,
ACORN-P,2014-01-25,
ACORN-P,2014-01-26,
ACORN-P,2014-01-27,
ACORN-P,2014-01-28,
ACORN-P,2014-01-29,
ACORN-P,2014-01-30,
ACORN-P,2014-01-31,
ACORN-P,2014-02-01,
ACORN-P,2014-02-02,
ACORN-P,2014-02-03,
ACORN-P,2014-02-04,
ACORN-P,2014-02-05,
ACORN-P,2014-02-06,
ACORN-P,2014-02-07,
ACORN-P,2014-02-08,
ACORN-P,2014-02-09,
ACORN-P,2014-02-10,
ACORN-P,2014-02-11,
ACORN-P,2014-02-12,
ACORN-P,2014-02-13,
ACORN-C,2014-01-13,
ACORN-C,2014-01-14,
ACORN-C,2014-01-15,
ACORN-C,2014-01-16,
ACORN-C,2014-01-17,
ACORN-C,2014-01-18,
ACORN-C,2014-01-19,
ACORN-C,2014-01-20,
ACORN-C,2014-01-21,
ACORN-C,2014-01-22,
ACORN-C,2014-01-23,
ACORN-C,2014-01-24,
ACORN-C,2014-01-25,
ACORN-C,2014-01-26,
ACORN-C,2014-01-27,
ACORN-C,2014-01-28,
ACORN-C,2014-01-29,
ACORN-C,2014-01-30,
ACORN-C,2014-01-31,
ACORN-C,2014-02-01,
ACORN-C,2014-02-02,
ACORN-C,2014-02-03,
ACORN-C,2014-02-04,
ACORN-C,2014-02-05,
ACORN-C,2014-02-06,
ACORN-C,2014-02-07,
ACORN-C,2014-02-08,
ACORN-C,2014-02-09,
ACORN-C,2014-02-10,
ACORN-C,2014-02-11,
ACORN-C,2014-02-12,
ACORN-C,2014-02-13,
ACORN-F,2014-01-13,
ACORN-F,2014-01-14,
ACORN-F,2014-01-15,
ACORN-F,2014-01-16,
ACORN-F,2014-01-17,
ACORN-F,2014-01-18,
ACORN-F,2014-01-19,
ACORN-F,2014-01-20,
ACORN-F,2014-01-21,
ACORN-F,2014-01-22,
ACORN-F,2014-01-23,
ACORN-F,2014-01-24,
ACORN-F,2014-01-25,
ACORN-F,2014-01-26,
ACORN-F,2014-01-27,
ACORN-F,2014-01-28,
ACORN-F,2014-01-29,
ACORN-F,2014-01-30,
ACORN-F,2014-01-31,
ACORN-F,2014-02-01,
ACORN-F,2014-02-02,
ACORN-F,2014-02-03,
ACORN-F,2014-02-04,
ACORN-F,2014-02-05,
ACORN-F,2014-02-06,
ACORN-F,2014-02-07,
ACORN-F,2014-02-08,
ACORN-F,2014-02-09,
ACORN-F,2014-02-10,
ACORN-F,2014-02-11,
ACORN-F,2014-02-12,
ACORN-F,2014-02-13,
